drug_name,Name,receptor,Actions,Gene Name,Pharmacological action,potency,family,symbol,show_text
Agomelatine,5-hydroxytryptamine receptor 2C,5-hydroxytryptamine  2C,Antagonist,HTR2C,Yes,7.149982077838116,HTR,star-triangle-down,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including ergot alkaloid
derivatives, 1-2,5,-dimethoxy-4-iodophenyl-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins) and
modulates the activity of down-stream effectors. Beta-
arrestin family members inhibit signaling via G proteins
and mediate activation of alternative signaling pathways.
Signaling activates a phosphatidylinositol-calcium
second messenger system that modulates the activity of
phosphatidylinositol 3-kinase and down-stream signaling
cascades and promotes the release of Ca(2+) ions from
intracellular stores. Regulates neuronal activity via the
activation of short transient receptor potential calcium
channels in the brain, and thereby modulates the activation
of pro-opiomelacortin neurons and the release of CRH that
then regulates the release of corticosterone. Plays a role
in the regulation of appetite and eating behavior, responses
to anxiogenic stimuli and stress. Plays a role in insulin
sensitivity and glucose homeostasis."
Agomelatine,Melatonin receptor type 1A,Melatonin  type 1A,Agonist,MTNR1A,Yes,11,MTNR,star-triangle-up,"High affinity receptor for melatonin. Likely to mediates
the reproductive and circadian actions of melatonin.
The activity of this receptor is mediated by pertussis
toxin sensitive G proteins that inhibit adenylate cyclase
activity."
Agomelatine,Melatonin receptor type 1B,Melatonin  type 1B,Agonist,MTNR1B,Yes,10.638272163982407,MTNR,star-triangle-up,"High affinity receptor for melatonin. Likely to mediates
the reproductive and circadian actions of melatonin.
The activity of this receptor is mediated by pertussis
toxin sensitive G proteins that inhibit adenylate cyclase
activity."
Amisulpride,Dopamine D2 receptor,Dopamine D2 ,Antagonist,DRD2,Yes,NA,DRD,star-triangle-down,"Dopamine receptor whose activity is mediated by G proteins
which inhibit adenylyl cyclase."
Amisulpride,Dopamine D3 receptor,Dopamine D3 ,Antagonist,DRD3,Unknown,NA,DRD,star-triangle-down,"Dopamine receptor whose activity is mediated by G proteins
which inhibit adenylyl cyclase. Promotes cell proliferation."
Amisulpride,5-hydroxytryptamine receptor 7,5-hydroxytryptamine  7,Antagonist,HTR7,Yes,NA,HTR,star-triangle-down,"This is one of the several different receptors for 5-
hydroxytryptamine (serotonin), a biogenic hormone that
functions as a neurotransmitter, a hormone, and a mitogen.
The activity of this receptor is mediated by G proteins that
stimulate adenylate cyclase."
Amisulpride,5-hydroxytryptamine receptor 2A,5-hydroxytryptamine  2A,Antagonist,HTR2A,Unknown,6.080712659495617,HTR,star-triangle-down,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including mescaline,
psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins)
and modulates the activity of down-stream effectors.
Beta-arrestin family members inhibit signaling via G
proteins and mediate activation of alternative signaling
pathways. Signaling activates phospholipase C and a
phosphatidylinositol-calcium second messenger system
that modulates the activity of phosphatidylinositol 3-
kinase and promotes the release of Ca(2+) ions from
intracellular stores. Affects neural activity, perception,
cognition and mood. Plays a role in the regulation of
behavior, including responses to anxiogenic situations
and psychoactive substances. Plays a role in intestinal
smooth muscle contraction, and may play a role in arterial
vasoconstriction.(Microbial infection) Acts as a receptor
for human JC polyomavirus/JCPyV."
Amitriptyline,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Blocker/inhibitor,SLC6A2,Yes,8.455931955649724,SLC,square-x,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals."
Amitriptyline,Sodium-dependent serotonin transporter,Sodium-dependent serotonin transporter,Blocker/inhibitor,SLC6A4,Yes,9.505149978319906,SLC,square-x,"Serotonin transporter whose primary function in the central
nervous system involves the regulation of serotonergic
signaling via transport of serotonin molecules from the
synaptic cleft back into the pre-synaptic terminal for re-
utilization. Plays a key role in mediating regulation of the
availability of serotonin to other receptors of serotonergic
systems. Terminates the action of serotonin and recycles it
in a sodium-dependent manner."
Amitriptyline,5-hydroxytryptamine receptor 2A,5-hydroxytryptamine  2A,Antagonist,HTR2A,Yes,NA,HTR,star-triangle-down,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including mescaline,
psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins)
and modulates the activity of down-stream effectors.
Beta-arrestin family members inhibit signaling via G
proteins and mediate activation of alternative signaling
pathways. Signaling activates phospholipase C and a
phosphatidylinositol-calcium second messenger system
that modulates the activity of phosphatidylinositol 3-
kinase and promotes the release of Ca(2+) ions from
intracellular stores. Affects neural activity, perception,
cognition and mood. Plays a role in the regulation of
behavior, including responses to anxiogenic situations
and psychoactive substances. Plays a role in intestinal
smooth muscle contraction, and may play a role in arterial
vasoconstriction.(Microbial infection) Acts as a receptor
for human JC polyomavirus/JCPyV."
Amitriptyline,5-hydroxytryptamine receptor 1A,5-hydroxytryptamine  1A,InhibitorInducer,HTR1A,Unknown,7.346787486224656,HTR,circle-open,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances. Ligand binding causes
a conformation change that triggers signaling via guanine
nucleotide-binding proteins (G proteins) and modulates
the activity of down-stream effectors, such as adenylate
cyclase. Beta-arrestin family members inhibit signaling via
G proteins and mediate activation of alternative signaling
pathways. Signaling inhibits adenylate cyclase activity and
activates a phosphatidylinositol-calcium second messenger
system that regulates the release of Ca(2+) ions from
intracellular stores. Plays a role in the regulation of 5-
hydroxytryptamine release and in the regulation of dopamine
and 5-hydroxytryptamine metabolism. Plays a role in the
regulation of dopamine and 5-hydroxytryptamine levels
in the brain, and thereby affects neural activity, mood
and behavior. Plays a role in the response to anxiogenic
stimuli."
Amitriptyline,Delta-type opioid receptor,Delta-type opioid ,Agonist,OPRD1,Unknown,NA,OPRD,star-triangle-up,"G-protein coupled receptor that functions as receptor
for endogenous enkephalins and for a subset of other
opioids. Ligand binding causes a conformation change that
triggers signaling via guanine nucleotide-binding proteins
(G proteins) and modulates the activity of down-stream
effectors, such as adenylate cyclase. Signaling leads to
the inhibition of adenylate cyclase activity. Inhibits
neurotransmitter release by reducing calcium ion currents
and increasing potassium ion conductance. Plays a role in
the perception of pain and in opiate-mediated analgesia.
Plays a role in developing analgesic tolerance to morphine."
Amitriptyline,Kappa-type opioid receptor,Kappa-type opioid ,Agonist,OPRK1,Unknown,NA,OPRK,star-triangle-up,"G-protein coupled opioid receptor that functions as receptor
for endogenous alpha-neoendorphins and dynorphins, but has
low affinity for beta-endorphins. Also functions as receptor
for various synthetic opioids and for the psychoactive
diterpene salvinorin A. Ligand binding causes a conformation
change that triggers signaling via guanine nucleotide-
binding proteins (G proteins) and modulates the activity of
down-stream effectors, such as adenylate cyclase. Signaling
leads to the inhibition of adenylate cyclase activity.
Inhibits neurotransmitter release by reducing calcium ion
currents and increasing potassium ion conductance. Plays a
role in the perception of pain. Plays a role in mediating
reduced physical activity upon treatment with synthetic
opioids. Plays a role in the regulation of salivation in
response to synthetic opioids. May play a role in arousal
and regulation of autonomic and neuroendocrine functions."
Amitriptyline,High affinity nerve growth factor receptor,High affinity nerve growth factor ,AgonistActivator,NTRK1,Unknown,NA,NTRK,circle-open,"Receptor tyrosine kinase involved in the development and
the maturation of the central and peripheral nervous systems
through regulation of proliferation, differentiation and
survival of sympathetic and nervous neurons. High affinity
receptor for NGF which is its primary ligand, it can also
bind and be activated by NTF3/neurotrophin-3. However,
NTF3 only supports axonal extension through NTRK1 but has
no effect on neuron survival. Upon dimeric NGF ligand-
binding, undergoes homodimerization, autophosphorylation
and activation. Recruits, phosphorylates and/or activates
several downstream effectors including SHC1, FRS2, SH2B1,
SH2B2 and PLCG1 that regulate distinct overlapping signaling
cascades driving cell survival and differentiation. Through
SHC1 and FRS2 activates a GRB2-Ras-MAPK cascade that
regulates cell differentiation and survival. Through PLCG1
controls NF-Kappa-B activation and the transcription of
genes involved in cell survival. Through SHC1 and SH2B1
controls a Ras-PI3 kinase-AKT1 signaling cascade that
is also regulating survival. In absence of ligand and
activation, may promote cell death, making the survival
of neurons dependent on trophic factors.Isoform TrkA-III
is resistant to NGF, constitutively activates AKT1 and NF-
kappa-B and is unable to activate the Ras-MAPK signaling
cascade. Antagonizes the anti-proliferative NGF-NTRK1
signaling that promotes neuronal precursors differentiation.
Isoform TrkA-III promotes angiogenesis and has oncogenic
activity when overexpressed."
Amitriptyline,BDNF/NT-3 growth factors receptor,BDNF/NT-3 growth factors ,Agonist,NTRK2,Unknown,NA,NTRK,star-triangle-up,"Receptor tyrosine kinase involved in the development and the
maturation of the central and the peripheral nervous systems
through regulation of neuron survival, proliferation,
migration, differentiation, and synapse formation and
plasticity. Receptor for BDNF/brain-derived neurotrophic
factor and NTF4/neurotrophin-4. Alternatively can also bind
NTF3/neurotrophin-3 which is less efficient in activating
the receptor but regulates neuron survival through
NTRK2. Upon ligand-binding, undergoes homodimerization,
autophosphorylation and activation. Recruits, phosphorylates
and/or activates several downstream effectors including
SHC1, FRS2, SH2B1, SH2B2 and PLCG1 that regulate distinct
overlapping signaling cascades. Through SHC1, FRS2, SH2B1,
SH2B2 activates the GRB2-Ras-MAPK cascade that regulates
for instance neuronal differentiation including neurite
outgrowth. Through the same effectors controls the Ras-
PI3 kinase-AKT1 signaling cascade that mainly regulates
growth and survival. Through PLCG1 and the downstream
protein kinase C-regulated pathways controls synaptic
plasticity. Thereby, plays a role in learning and memory by
regulating both short term synaptic function and long-term
potentiation. PLCG1 also leads to NF-Kappa-B activation and
the transcription of genes involved in cell survival. Hence,
it is able to suppress anoikis, the apoptosis resulting from
loss of cell-matrix interactions. May also play a role in
neutrophin-dependent calcium signaling in glial cells and
mediate communication between neurons and glia."
Amitriptyline,Alpha-1A adrenergic receptor,Alpha-1A adrenergic ,AntagonistInhibitor,ADRA1A,No,NA,ADRA,circle-open,"This alpha-adrenergic receptor mediates its action
by association with G proteins that activate a
phosphatidylinositol-calcium second messenger system. Its
effect is mediated by G(q) and G(11) proteins. Nuclear
ADRA1A-ADRA1B heterooligomers regulate phenylephrine(PE)-
stimulated ERK signaling in cardiac myocytes."
Amitriptyline,Alpha-1D adrenergic receptor,Alpha-1D adrenergic ,Antagonist,ADRA1D,No,NA,ADRA,star-triangle-down,"This alpha-adrenergic receptor mediates its effect through
the influx of extracellular calcium."
Amitriptyline,Alpha-2A adrenergic receptor,Alpha-2A adrenergic ,Antagonist,ADRA2A,No,7.39577394691553,ADRA,star-triangle-down,"Alpha-2 adrenergic receptors mediate the catecholamine-
induced inhibition of adenylate cyclase through the action
of G proteins. The rank order of potency for agonists of
this receptor is oxymetazoline > clonidine > epinephrine
> norepinephrine > phenylephrine > dopamine > p-synephrine
> p-tyramine > serotonin = p-octopamine. For antagonists,
the rank order is yohimbine > phentolamine = mianserine
> chlorpromazine = spiperone = prazosin > propanolol >
alprenolol = pindolol."
Amitriptyline,Histamine H1 receptor,Histamine H1 ,Antagonist,HRH1,No,10.022276394711152,HRH,star-triangle-down,"In peripheral tissues, the H1 subclass of histamine
receptors mediates the contraction of smooth muscles,
increase in capillary permeability due to contraction of
terminal venules, and catecholamine release from adrenal
medulla, as well as mediating neurotransmission in the
central nervous system."
Amitriptyline,Potassium voltage-gated channel subfamily KQT member 2,Potassium voltage-gated channel subfamily KQT member 2,Blocker/inhibitor,KCNQ2,No,NA,KCNQ,square-x,"Probably important in the regulation of neuronal
excitability. Associates with KCNQ3 to form a potassium
channel with essentially identical properties to the channel
underlying the native M-current, a slowly activating and
deactivating potassium conductance which plays a critical
role in determining the subthreshold electrical excitability
of neurons as well as the responsiveness to synaptic inputs.
KCNQ2/KCNQ3 current is blocked by linopirdine and XE991,
and activated by the anticonvulsant retigabine. Muscarinic
agonist oxotremorine-M strongly suppress KCNQ2/KCNQ3
current in cells in which cloned KCNQ2/KCNQ3 channels were
coexpressed with M1 muscarinic receptors."
Amitriptyline,Potassium voltage-gated channel subfamily A member 1,Potassium voltage-gated channel subfamily A member 1,Blocker/inhibitor,KCNA1,No,NA,KCNA,square-x,"Voltage-gated potassium channel that mediates transmembrane
potassium transport in excitable membranes, primarily in
the brain and the central nervous system, but also in the
kidney (PubMed:19903818). Contributes to the regulation of
the membrane potential and nerve signaling, and prevents
neuronal hyperexcitability (PubMed:17156368). Forms
tetrameric potassium-selective channels through which
potassium ions pass in accordance with their electrochemical
gradient. The channel alternates between opened and
closed conformations in response to the voltage difference
across the membrane (PubMed:19912772). Can form functional
homotetrameric channels and heterotetrameric channels that
contain variable proportions of KCNA1, KCNA2, KCNA4, KCNA5,
KCNA6, KCNA7, and possibly other family members as well;
channel properties depend on the type of alpha subunits that
are part of the channel (PubMed:12077175, PubMed:17156368).
Channel properties are modulated by cytoplasmic beta
subunits that regulate the subcellular location of the alpha
subunits and promote rapid inactivation of delayed rectifier
potassium channels (PubMed:12077175, PubMed:17156368). In
vivo, membranes probably contain a mixture of heteromeric
potassium channel complexes, making it difficult to assign
currents observed in intact tissues to any particular
potassium channel family member. Homotetrameric KCNA1 forms
a delayed-rectifier potassium channel that opens in response
to membrane depolarization, followed by slow spontaneous
channel closure (PubMed:19912772, PubMed:19968958, PubMed:
19307729, PubMed:19903818). In contrast, a heterotetrameric
channel formed by KCNA1 and KCNA4 shows rapid inactivation
(PubMed:17156368). Regulates neuronal excitability in
hippocampus, especially in mossy fibers and medial perforant
path axons, preventing neuronal hyperexcitability. Response
to toxins that are selective for KCNA1, respectively for
KCNA2, suggests that heteromeric potassium channels composed
of both KCNA1 and KCNA2 play a role in pacemaking and
regulate the output of deep cerebellar nuclear neurons (By
similarity). May function as down-stream effector for G
protein-coupled receptors and inhibit GABAergic inputs to
basolateral amygdala neurons (By similarity). May contribute
to the regulation of neurotransmitter release, such as
gamma-aminobutyric acid (GABA) release (By similarity).
Plays a role in regulating the generation of action
potentials and preventing hyperexcitability in myelinated
axons of the vagus nerve, and thereby contributes to the
regulation of heart contraction (By similarity). Required
for normal neuromuscular responses (PubMed:11026449, PubMed:
17136396). Regulates the frequency of neuronal action
potential firing in response to mechanical stimuli, and
plays a role in the perception of pain caused by mechanical
stimuli, but does not play a role in the perception of pain
due to heat stimuli (By similarity). Required for normal
responses to auditory stimuli and precise location of sound
sources, but not for sound perception (By similarity). The
use of toxins that block specific channels suggest that it
contributes to the regulation of the axonal release of the
neurotransmitter dopamine (By similarity). Required for
normal postnatal brain development and normal proliferation
of neuronal precursor cells in the brain (By similarity).
Plays a role in the reabsorption of Mg(2+) in the distal
convoluted tubules in the kidney and in magnesium ion
homeostasis, probably via its effect on the membrane
potential (PubMed:23903368, PubMed:19307729)."
Amitriptyline,Histamine H2 receptor,Histamine H2 ,Blocker/inhibitor,HRH2,Unknown,NA,HRH,square-x,"The H2 subclass of histamine receptors mediates gastric
acid secretion. Also appears to regulate gastrointestinal
motility and intestinal secretion. Possible role in
regulating cell growth and differentiation. The activity
of this receptor is mediated by G proteins which activate
adenylyl cyclase and, through a separate G protein-dependent
mechanism, the phosphoinositide/protein kinase (PKC)
signaling pathway (By similarity)."
Amitriptyline,Histamine H4 receptor,Histamine H4 ,Binder,HRH4,Unknown,8.473660722610155,HRH,diamond-wide,"The H4 subclass of histamine receptors could mediate
the histamine signals in peripheral tissues. Displays a
significant level of constitutive activity (spontaneous
activity in the absence of agonist)."
Amitriptyline,Sigma non-opioid intracellular receptor 1,Sigma non-opioid intracellular  1,Agonist,SIGMAR1,Unknown,NA,SIGMAR,star-triangle-up,"Functions in lipid transport from the endoplasmic
reticulum and is involved in a wide array of cellular
functions probably through regulation of the biogenesis
of lipid microdomains at the plasma membrane. Involved
in the regulation of different receptors it plays a role
in BDNF signaling and EGF signaling. Also regulates ion
channels like the potassium channel and could modulate
neurotransmitter release. Plays a role in calcium signaling
through modulation together with ANK2 of the ITP3R-dependent
calcium efflux at the endoplasmic reticulum. Plays a role
in several other cell functions including proliferation,
survival and death. Originally identified for its ability to
bind various psychoactive drugs it is involved in learning
processes, memory and mood alteration (PubMed:16472803,
PubMed:9341151). Necessary for proper mitochondrial axonal
transport in motor neurons, in particular the retrograde
movement of mitochondria (By similarity)."
