drug_name,Name,receptor,Actions,Gene Name,Pharmacological action,potency,family,symbol,show_text,Ki
Agomelatine,5-hydroxytryptamine receptor 2C,5-hydroxytryptamine  2C,Antagonist,HTR2C,Yes,7.149982077838116,HTR,star-triangle-down,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including ergot alkaloid
derivatives, 1-2,5,-dimethoxy-4-iodophenyl-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins) and
modulates the activity of down-stream effectors. Beta-
arrestin family members inhibit signaling via G proteins
and mediate activation of alternative signaling pathways.
Signaling activates a phosphatidylinositol-calcium
second messenger system that modulates the activity of
phosphatidylinositol 3-kinase and down-stream signaling
cascades and promotes the release of Ca(2+) ions from
intracellular stores. Regulates neuronal activity via the
activation of short transient receptor potential calcium
channels in the brain, and thereby modulates the activation
of pro-opiomelacortin neurons and the release of CRH that
then regulates the release of corticosterone. Plays a role
in the regulation of appetite and eating behavior, responses
to anxiogenic stimuli and stress. Plays a role in insulin
sensitivity and glucose homeostasis.",707.975
Agomelatine,Melatonin receptor type 1A,Melatonin  type 1A,Agonist,MTNR1A,Yes,11,MTNR,star-triangle-up,"High affinity receptor for melatonin. Likely to mediates
the reproductive and circadian actions of melatonin.
The activity of this receptor is mediated by pertussis
toxin sensitive G proteins that inhibit adenylate cyclase
activity.",0.1
Agomelatine,Melatonin receptor type 1B,Melatonin  type 1B,Agonist,MTNR1B,Yes,10.638272163982407,MTNR,star-triangle-up,"High affinity receptor for melatonin. Likely to mediates
the reproductive and circadian actions of melatonin.
The activity of this receptor is mediated by pertussis
toxin sensitive G proteins that inhibit adenylate cyclase
activity.",0.23
Amisulpride,Dopamine D2 receptor,Dopamine D2 ,Antagonist,DRD2,Yes,NA,DRD,star-triangle-down,"Dopamine receptor whose activity is mediated by G proteins
which inhibit adenylyl cyclase.",NA
Amisulpride,Dopamine D3 receptor,Dopamine D3 ,Antagonist,DRD3,Unknown,NA,DRD,star-triangle-down,"Dopamine receptor whose activity is mediated by G proteins
which inhibit adenylyl cyclase. Promotes cell proliferation.",NA
Amisulpride,5-hydroxytryptamine receptor 7,5-hydroxytryptamine  7,Antagonist,HTR7,Yes,NA,HTR,star-triangle-down,"This is one of the several different receptors for 5-
hydroxytryptamine (serotonin), a biogenic hormone that
functions as a neurotransmitter, a hormone, and a mitogen.
The activity of this receptor is mediated by G proteins that
stimulate adenylate cyclase.",NA
Amisulpride,5-hydroxytryptamine receptor 2A,5-hydroxytryptamine  2A,Antagonist,HTR2A,Unknown,6.080712659495617,HTR,star-triangle-down,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including mescaline,
psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins)
and modulates the activity of down-stream effectors.
Beta-arrestin family members inhibit signaling via G
proteins and mediate activation of alternative signaling
pathways. Signaling activates phospholipase C and a
phosphatidylinositol-calcium second messenger system
that modulates the activity of phosphatidylinositol 3-
kinase and promotes the release of Ca(2+) ions from
intracellular stores. Affects neural activity, perception,
cognition and mood. Plays a role in the regulation of
behavior, including responses to anxiogenic situations
and psychoactive substances. Plays a role in intestinal
smooth muscle contraction, and may play a role in arterial
vasoconstriction.(Microbial infection) Acts as a receptor
for human JC polyomavirus/JCPyV.",8304
Amitriptyline,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Blocker/inhibitor,SLC6A2,Yes,8.455931955649724,SLC,square-x,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals.",35
Amitriptyline,Sodium-dependent serotonin transporter,Sodium-dependent serotonin transporter,Blocker/inhibitor,SLC6A4,Yes,9.505149978319906,SLC,square-x,"Serotonin transporter whose primary function in the central
nervous system involves the regulation of serotonergic
signaling via transport of serotonin molecules from the
synaptic cleft back into the pre-synaptic terminal for re-
utilization. Plays a key role in mediating regulation of the
availability of serotonin to other receptors of serotonergic
systems. Terminates the action of serotonin and recycles it
in a sodium-dependent manner.",3.125
Amitriptyline,5-hydroxytryptamine receptor 2A,5-hydroxytryptamine  2A,Antagonist,HTR2A,Yes,NA,HTR,star-triangle-down,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including mescaline,
psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins)
and modulates the activity of down-stream effectors.
Beta-arrestin family members inhibit signaling via G
proteins and mediate activation of alternative signaling
pathways. Signaling activates phospholipase C and a
phosphatidylinositol-calcium second messenger system
that modulates the activity of phosphatidylinositol 3-
kinase and promotes the release of Ca(2+) ions from
intracellular stores. Affects neural activity, perception,
cognition and mood. Plays a role in the regulation of
behavior, including responses to anxiogenic situations
and psychoactive substances. Plays a role in intestinal
smooth muscle contraction, and may play a role in arterial
vasoconstriction.(Microbial infection) Acts as a receptor
for human JC polyomavirus/JCPyV.",NA
